Ticker,Buy Date,Buy Price,Sell Date,Sell Price,Profit,Profit %,Duration,Ticker Cum Profit,Ticker Cum Profit %,Profitable,Trade Number,RSI,Upper BB,Lower BB,Vol,Total Cum Profit %,Peak,Drawdown
MSFT,2022-03-08,277.79998779296875,2022-07-29,277.70001220703125,-0.0999755859375,-0.035988333452342376,143,-0.0999755859375,-0.035988333452342376,No,1,24.817419577354357,305.65911618241563,271.63766421309214,8.505362992330866,-0.035988333452342376,-0.035988333452342376,0.0
NVDA,2022-03-08,213.08999633789062,2022-03-21,265.07000732421875,51.980010986328125,24.39345435245347,13,51.980010986328125,24.39345435245347,Yes,1,28.92942821396109,270.68780585059795,210.95528344383567,14.933130601690568,24.35746601900113,24.35746601900113,0.0
AMZN,2022-03-08,136.68350219726562,2022-06-03,124.19999694824219,-12.483505249023438,-9.133147050188162,87,-12.483505249023438,-9.133147050188162,No,1,18.175643084932602,165.43403768228174,138.15271158529637,6.820331524246342,15.224318968812968,24.35746601900113,-9.133147050188162
GOOG,2022-03-08,126.25050354003906,2022-03-23,139.1385040283203,12.88800048828125,10.208276503383571,15,12.88800048828125,10.208276503383571,Yes,1,28.45347595545077,141.73275907336506,125.62239076794354,4.027592076355383,25.43259547219654,25.43259547219654,0.0
AAPL,2022-03-14,151.4499969482422,2022-03-25,173.8800048828125,22.430007934570312,14.810173909898284,11,22.430007934570312,14.810173909898284,Yes,1,23.836851277495143,172.75041776131772,150.57668642569402,5.5434328339059205,40.24276938209482,40.24276938209482,0.0
NVDA,2022-04-12,225.3699951171875,2022-06-03,190.82000732421875,-34.54998779296875,-15.33034056951703,52,17.430023193359375,8.17965342949328,No,2,16.186642573620077,299.8858425023101,216.94749337415473,20.73458728203884,24.91242881257779,40.24276938209482,-15.33034056951703
GOOG,2022-04-13,128.62649536132812,2022-10-26,96.76000213623047,-31.866493225097656,-24.774439461777014,196,-18.978492736816406,-15.03240953870538,No,2,30.1940716922238,147.08316212869096,128.76713389181685,4.5790070592185215,0.13798935080077612,40.24276938209482,-40.10478003129404
AAPL,2022-04-27,155.91000366210938,2022-07-22,155.38999938964844,-0.5200042724609375,-0.3335284845402858,86,21.910003662109375,14.466823442457438,No,2,20.9189966575545,178.66543722412752,154.28074350097012,6.0961734307893565,-0.19553913373950965,40.24276938209482,-40.43830851583433
MSFT,2022-08-29,265.8500061035156,2023-02-03,259.5400085449219,-6.30999755859375,-2.373517928804105,158,-6.40997314453125,-2.3074058409636438,No,2,19.976460917255494,293.9442248069281,262.8813184059625,7.765726600241398,-2.5690570625436147,40.24276938209482,-42.811826444638434
NVDA,2022-08-30,159.60000610351562,2022-11-11,158.07000732421875,-1.529998779296875,-0.9586458150286828,73,15.9000244140625,7.461647513874979,No,3,24.2541385978586,200.08095522711486,156.03499478509215,11.011490110505678,-3.5277028775722976,40.24276938209482,-43.770472259667116
AAPL,2022-08-31,160.30999755859375,2022-10-26,150.9600067138672,-9.349990844726562,-5.832444006687178,56,12.560012817382812,8.293174691627875,No,3,19.333374638825887,175.84692240839675,156.36303242558765,4.870972495702278,-9.360146884259475,40.24276938209482,-49.6029162663543
AMZN,2022-09-22,117.08000183105469,2023-01-12,96.93000030517578,-20.150001525878906,-17.21045542427917,112,-32.633506774902344,-23.875234574985292,No,2,22.62337099146616,137.60706953332925,117.55893006994222,5.012034865846757,-26.570602308538646,40.24276938209482,-66.81337169063346
GOOG,2022-10-28,92.52999877929688,2023-01-20,95.94999694824219,3.4199981689453125,3.6960966325123525,84,-15.558494567871094,-12.323510902225333,Yes,3,43.06478506148453,105.55320882522518,93.85279245651309,2.925104092178026,-22.874505676026295,40.24276938209482,-63.117275058121116
AAPL,2022-12-16,136.69000244140625,2023-01-24,140.30999755859375,3.6199951171875,2.648324714705637,39,16.180007934570312,10.68339931370207,Yes,4,22.479056088769923,152.87176846757117,134.91734896406948,4.48860487587543,-20.226180961320658,40.24276938209482,-60.46895034341548
NVDA,2022-12-28,139.27000427246094,2023-01-18,176.6699981689453,37.399993896484375,26.85430656217751,21,53.300018310546875,25.01291436789486,Yes,4,18.530667366112183,185.41929290821932,142.6021655268393,10.704281845345006,6.628125600856851,40.24276938209482,-33.61464378123797
MSFT,2023-04-26,296.70001220703125,2023-04-28,304.010009765625,7.30999755859375,2.4637671917225883,2,0.9000244140625,0.32398288466925557,Yes,3,66.16755954744946,292.48944378917867,275.3451661961729,4.286069398251454,9.09189279257944,40.24276938209482,-31.15087658951538
GOOG,2023-06-27,117.83999633789062,2023-07-27,131.8000030517578,13.960006713867188,11.846577688138,30,-1.5984878540039062,-1.266123943416164,Yes,4,29.109807439663655,127.99235670629312,119.38164384302328,2.1526782158174624,20.93847048071744,40.24276938209482,-19.30429890137738
AAPL,2023-08-07,182.1300048828125,2023-09-01,189.49000549316406,7.3600006103515625,4.041069792474442,25,23.540008544921875,15.543089481188064,Yes,5,12.821173364605528,199.74400714151307,182.10206829794004,4.410484710893253,24.979540273191883,40.24276938209482,-15.263229108902937
NVDA,2023-08-10,421.6000061035156,2023-08-30,490.44000244140625,68.83999633789062,16.328272139775137,20,122.1400146484375,57.3185117778892,Yes,5,25.108750223085394,480.46838682978137,425.82326966435926,13.661279291355527,41.307812412967024,41.307812412967024,0.0
NVDA,2023-09-22,415.7200012207031,2024-01-09,524.010009765625,108.29000854492188,26.048784813562865,109,230.43002319335938,108.1374194722746,Yes,6,23.678964356194896,506.48205518121813,406.9628453314772,24.879802462435237,67.35659722652989,67.35659722652989,0.0
MSFT,2023-09-25,316.5899963378906,2023-11-02,347.239990234375,30.649993896484375,9.681289444083447,38,31.550018310546875,11.357098523006279,Yes,4,25.26795756734495,340.07920501267574,314.89575226271484,6.295863187490233,77.03788667061333,77.03788667061333,0.0
GOOG,2023-09-27,129.44000244140625,2023-12-22,142.1300048828125,12.69000244140625,9.803771787744402,86,11.091514587402344,8.78532304933325,Yes,5,38.18874779052453,141.53675185548934,129.7862507690224,2.937625271616739,86.84165845835773,86.84165845835773,0.0
AMZN,2023-09-27,125.76000213623047,2023-12-19,154.39999389648438,28.639991760253906,22.77352995686929,83,-3.9935150146484375,-2.921724239173269,Yes,3,22.30350895763685,147.69073413606068,125.1872672677479,5.625866717078198,109.61518841522701,109.61518841522701,0.0
AAPL,2023-10-27,166.91000366210938,2023-11-13,185.82000732421875,18.910003662109375,11.329460935361645,17,42.45001220703125,28.029061117471322,Yes,6,24.653170791424856,182.16760749729121,167.09100914089237,3.769149589099719,120.94464935058866,120.94464935058866,0.0
